epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1261.68,0.5534,0.85423,0.53046,0.90193,0.80789,0.70136,0.7708,0.61901,0.78172,0.64377,0.72445,0.50595,0.57598,1.18444,1.48605,0.97269,0.00973814,0.00973814,0.00973814
54,1284.78,0.54202,0.82747,0.53629,0.89764,0.81735,0.68816,0.78985,0.62596,0.80928,0.66694,0.74942,0.51025,0.58793,1.00039,1.59283,0.9778,0.00972806,0.00972806,0.00972806
55,1307.97,0.54201,0.83593,0.5363,0.89876,0.80213,0.73306,0.80261,0.65832,0.78772,0.65655,0.74293,0.52504,0.55903,0.98987,1.35046,0.93817,0.0097178,0.0097178,0.0097178
56,1330.83,0.54029,0.82958,0.51868,0.89538,0.87495,0.71902,0.83426,0.66801,0.86608,0.70876,0.81374,0.54884,0.5577,0.95754,1.40643,0.96847,0.00970736,0.00970736,0.00970736
57,1353.99,0.54196,0.82519,0.52354,0.89774,0.86243,0.71949,0.80368,0.64145,0.81685,0.65917,0.74708,0.51797,0.55859,1.03203,1.43421,0.95948,0.00969673,0.00969673,0.00969673
58,1377.43,0.53196,0.82751,0.5014,0.89414,0.89737,0.6623,0.83068,0.65961,0.82958,0.58276,0.74381,0.53857,0.597,1.06822,1.354,0.99504,0.00968592,0.00968592,0.00968592
59,1401.29,0.5426,0.83819,0.51158,0.90183,0.85799,0.69226,0.84294,0.66513,0.75947,0.69534,0.80494,0.55572,0.63299,1.00019,1.3521,1.03985,0.00967493,0.00967493,0.00967493
60,1424.45,0.5367,0.81304,0.50214,0.89653,0.87015,0.73617,0.82396,0.65244,0.86971,0.73232,0.82374,0.54216,0.58679,1.07271,1.37322,0.99213,0.00966375,0.00966375,0.00966375
61,1447.23,0.53461,0.8191,0.5066,0.89799,0.84122,0.67233,0.75662,0.61928,0.82367,0.64457,0.72734,0.51823,0.55812,0.97829,1.54399,0.96491,0.00965239,0.00965239,0.00965239
62,1470.86,0.52994,0.82139,0.50376,0.89478,0.78112,0.68425,0.77185,0.60913,0.78077,0.66547,0.74623,0.52833,0.58663,0.99769,1.56751,0.97538,0.00964085,0.00964085,0.00964085
63,1493.49,0.53267,0.83248,0.5092,0.89491,0.85678,0.65734,0.81273,0.65753,0.83683,0.62929,0.78465,0.54393,0.61066,1.08455,1.37738,1.02296,0.00962913,0.00962913,0.00962913
64,1515.63,0.53262,0.81749,0.50012,0.89545,0.8161,0.69668,0.83987,0.6893,0.78055,0.70372,0.83033,0.5839,0.56195,0.93797,1.3378,0.96864,0.00961723,0.00961723,0.00961723
65,1537.59,0.52014,0.80912,0.48718,0.88774,0.83404,0.69833,0.77096,0.62424,0.78285,0.64703,0.7076,0.52818,0.55204,0.90135,1.34,0.9757,0.00960515,0.00960515,0.00960515
66,1560.43,0.51991,0.78691,0.4877,0.8928,0.87071,0.64272,0.80719,0.64908,0.86452,0.5768,0.73808,0.5398,0.59341,1.02371,1.39495,0.99638,0.00959289,0.00959289,0.00959289
67,1583.72,0.52639,0.80759,0.49971,0.892,0.82456,0.71617,0.77693,0.61315,0.78125,0.64302,0.71361,0.51233,0.6104,0.96189,1.46046,1.00505,0.00958044,0.00958044,0.00958044
68,1606.63,0.52352,0.79045,0.48353,0.89483,0.85394,0.67887,0.79728,0.63503,0.81048,0.60955,0.72343,0.52767,0.59963,1.14568,1.47158,0.99656,0.00956782,0.00956782,0.00956782
69,1629.55,0.52538,0.79001,0.48037,0.89469,0.84726,0.76363,0.83479,0.68021,0.83412,0.73477,0.79157,0.57502,0.55219,0.89523,1.36838,0.96133,0.00955502,0.00955502,0.00955502
70,1653.79,0.52382,0.78889,0.48271,0.89764,0.88134,0.702,0.82061,0.67173,0.84263,0.71578,0.79924,0.57159,0.56884,0.94907,1.34564,0.97475,0.00954205,0.00954205,0.00954205
71,1676.92,0.52492,0.80023,0.4854,0.89336,0.85598,0.66873,0.80271,0.65303,0.828,0.62868,0.74985,0.53296,0.60095,1.06651,1.39313,1.00458,0.00952889,0.00952889,0.00952889
72,1700,0.52066,0.79639,0.47672,0.88992,0.85678,0.67033,0.7924,0.64445,0.81955,0.62214,0.72617,0.53329,0.5872,1.02332,1.37771,0.99193,0.00951556,0.00951556,0.00951556
73,1722.77,0.51883,0.79319,0.47223,0.89199,0.80831,0.70972,0.81045,0.6515,0.84469,0.65552,0.7751,0.55271,0.56875,0.95134,1.42811,0.97685,0.00950206,0.00950206,0.00950206
74,1744.72,0.51503,0.79893,0.47256,0.8859,0.8803,0.72504,0.78266,0.63775,0.83736,0.67588,0.70585,0.52629,0.56577,0.93934,1.5773,0.9649,0.00948837,0.00948837,0.00948837
75,1765.3,0.51591,0.79541,0.47379,0.89165,0.85747,0.67736,0.78772,0.63601,0.76134,0.66383,0.70911,0.50984,0.5546,1.00143,1.56254,0.96517,0.00947452,0.00947452,0.00947452
76,1785.91,0.52238,0.7884,0.47465,0.89393,0.84117,0.70071,0.81275,0.66171,0.8267,0.61819,0.7357,0.53834,0.58045,0.9114,1.50391,0.97775,0.00946048,0.00946048,0.00946048
77,1807.35,0.5122,0.78947,0.46877,0.88814,0.85914,0.6597,0.80433,0.67188,0.83311,0.62958,0.7559,0.53925,0.51491,0.97192,1.45738,0.94024,0.00944628,0.00944628,0.00944628
