epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1281.81,0.57409,0.90848,0.58219,0.90938,0.9574,0.97477,0.98931,0.91041,0.95531,0.9723,0.98698,0.81268,0.41894,0.66245,0.34611,0.84399,0.00985213,0.00985213,0.00985213
41,1315.56,0.5628,0.88362,0.57523,0.91137,0.97344,0.9618,0.98845,0.90922,0.97126,0.96015,0.9853,0.82515,0.4189,0.6507,0.33046,0.84361,0.00984449,0.00984449,0.00984449
42,1348.4,0.56674,0.88536,0.57344,0.90717,0.96208,0.96795,0.98737,0.92001,0.95993,0.96938,0.98676,0.8303,0.39349,0.62242,0.31745,0.83418,0.00983666,0.00983666,0.00983666
43,1378.68,0.567,0.88801,0.56673,0.90571,0.97294,0.96255,0.99124,0.91679,0.97294,0.96255,0.98981,0.83018,0.40422,0.62629,0.32329,0.83607,0.00982864,0.00982864,0.00982864
44,1411.3,0.55757,0.8717,0.55558,0.90557,0.96094,0.98115,0.9895,0.91432,0.9596,0.97975,0.98557,0.82473,0.41669,0.64621,0.32336,0.84032,0.00982043,0.00982043,0.00982043
45,1443.45,0.55944,0.87608,0.5545,0.9037,0.97842,0.97782,0.99213,0.91742,0.96847,0.97991,0.98938,0.82893,0.40483,0.62883,0.31797,0.83855,0.00981204,0.00981204,0.00981204
46,1473.73,0.55666,0.87168,0.55193,0.90409,0.95827,0.9848,0.98656,0.91558,0.95667,0.9836,0.98446,0.82902,0.40749,0.62344,0.33049,0.83674,0.00980345,0.00980345,0.00980345
47,1505.3,0.55571,0.86597,0.55046,0.90433,0.96732,0.96443,0.989,0.9182,0.96211,0.97121,0.9894,0.82875,0.40067,0.63438,0.32155,0.84033,0.00979468,0.00979468,0.00979468
48,1537.67,0.55797,0.85691,0.55855,0.90302,0.97646,0.97887,0.99067,0.91921,0.97473,0.9775,0.9871,0.83447,0.40296,0.59836,0.30226,0.84007,0.00978572,0.00978572,0.00978572
49,1568.66,0.55039,0.8705,0.55329,0.9043,0.97645,0.97453,0.98754,0.91742,0.97463,0.97321,0.98476,0.83325,0.39689,0.62291,0.29676,0.83486,0.00977658,0.00977658,0.00977658
50,1600.02,0.54422,0.86042,0.53946,0.90137,0.97239,0.97159,0.98895,0.91936,0.97418,0.97018,0.9882,0.82705,0.39125,0.61269,0.31247,0.83165,0.00976725,0.00976725,0.00976725
51,1631.8,0.55347,0.87618,0.54029,0.90211,0.9642,0.98423,0.98964,0.91562,0.96263,0.98294,0.98542,0.83381,0.39913,0.60605,0.3009,0.83407,0.00975773,0.00975773,0.00975773
52,1662.92,0.54013,0.84859,0.52816,0.89792,0.96938,0.97533,0.99026,0.92445,0.96906,0.97501,0.98705,0.82846,0.38296,0.62857,0.29697,0.82812,0.00974803,0.00974803,0.00974803
53,1694.61,0.54243,0.85536,0.53529,0.90205,0.96887,0.98082,0.99143,0.92549,0.966,0.9781,0.98666,0.83803,0.38845,0.60638,0.29932,0.82888,0.00973814,0.00973814,0.00973814
54,1726.42,0.54203,0.8702,0.52713,0.90172,0.96839,0.9804,0.99295,0.92772,0.96677,0.979,0.98906,0.83797,0.38229,0.59174,0.29716,0.82766,0.00972806,0.00972806,0.00972806
55,1757.47,0.53949,0.84954,0.52474,0.89817,0.96821,0.98666,0.9917,0.92953,0.96821,0.98666,0.99003,0.84146,0.38333,0.60592,0.29434,0.83207,0.0097178,0.0097178,0.0097178
56,1789.33,0.5353,0.84131,0.51362,0.89733,0.96742,0.97275,0.9888,0.92382,0.96914,0.97377,0.9893,0.83415,0.37797,0.58841,0.29569,0.82692,0.00970736,0.00970736,0.00970736
57,1821.52,0.535,0.83139,0.51308,0.90052,0.95086,0.94895,0.97861,0.89905,0.948,0.94735,0.97342,0.79773,0.42317,0.70566,0.34271,0.85375,0.00969673,0.00969673,0.00969673
58,1854.6,0.52623,0.83997,0.50718,0.89163,0.97194,0.97901,0.98974,0.92884,0.97194,0.97901,0.98619,0.83812,0.37701,0.59754,0.28968,0.82613,0.00968592,0.00968592,0.00968592
59,1887.49,0.53086,0.84356,0.50693,0.89542,0.96618,0.98152,0.99051,0.92871,0.96571,0.98187,0.99075,0.84038,0.38298,0.59685,0.29076,0.82729,0.00967493,0.00967493,0.00967493
60,1919.74,0.52726,0.82457,0.50021,0.89138,0.96923,0.98303,0.99129,0.93485,0.96923,0.98303,0.99076,0.84705,0.36714,0.57555,0.27807,0.82233,0.00966375,0.00966375,0.00966375
61,1952.1,0.53656,0.83503,0.51007,0.89862,0.96588,0.98395,0.99101,0.93619,0.96601,0.98786,0.99137,0.84621,0.36949,0.57008,0.28115,0.82538,0.00965239,0.00965239,0.00965239
62,1984.08,0.52619,0.82354,0.5099,0.89494,0.96746,0.98989,0.99091,0.93618,0.96746,0.98989,0.98956,0.85425,0.36507,0.56159,0.26742,0.81967,0.00964085,0.00964085,0.00964085
63,2015.93,0.52826,0.83075,0.49583,0.89759,0.96022,0.97766,0.99141,0.93143,0.95861,0.97639,0.9881,0.83898,0.36807,0.59383,0.28462,0.82331,0.00962913,0.00962913,0.00962913
64,2046.36,0.52713,0.82165,0.50061,0.89411,0.97791,0.97993,0.99226,0.93178,0.9781,0.97972,0.99011,0.84085,0.37033,0.58353,0.27038,0.82123,0.00961723,0.00961723,0.00961723
65,2079.37,0.52154,0.81378,0.49088,0.8897,0.97107,0.97862,0.98943,0.93343,0.97122,0.97695,0.98627,0.84313,0.3669,0.58174,0.2743,0.81844,0.00960515,0.00960515,0.00960515
66,2112.32,0.52227,0.81482,0.49092,0.88864,0.97156,0.97635,0.98607,0.93263,0.97156,0.97635,0.98607,0.843,0.36142,0.56344,0.28061,0.8178,0.00959289,0.00959289,0.00959289
67,2145.06,0.51708,0.82201,0.4896,0.89066,0.9727,0.98836,0.99438,0.94021,0.9727,0.98836,0.99237,0.85341,0.35187,0.55978,0.2675,0.81703,0.00958044,0.00958044,0.00958044
68,2177.48,0.51782,0.81696,0.48222,0.88895,0.96962,0.98537,0.99188,0.94237,0.96799,0.98397,0.9877,0.85214,0.35563,0.55434,0.26652,0.81918,0.00956782,0.00956782,0.00956782
69,2205.76,0.52042,0.80112,0.47417,0.89143,0.97282,0.98849,0.99264,0.93686,0.97282,0.98849,0.99157,0.8533,0.3683,0.5625,0.26326,0.82319,0.00955502,0.00955502,0.00955502
70,2235.39,0.51587,0.80022,0.48322,0.89093,0.96686,0.98207,0.98975,0.93911,0.96694,0.98203,0.98868,0.84666,0.35176,0.56422,0.26531,0.81535,0.00954205,0.00954205,0.00954205
71,2268.29,0.50727,0.79662,0.47866,0.88707,0.96981,0.98863,0.99383,0.94532,0.96707,0.98599,0.99175,0.85035,0.3559,0.5556,0.27323,0.81777,0.00952889,0.00952889,0.00952889
72,2303.5,0.5166,0.79234,0.47553,0.89212,0.98217,0.98188,0.99299,0.94335,0.9794,0.97923,0.98876,0.85266,0.35776,0.55735,0.26214,0.81522,0.00951556,0.00951556,0.00951556
73,2339.2,0.51442,0.80413,0.48147,0.88644,0.96686,0.98751,0.99171,0.9377,0.96686,0.98751,0.99004,0.85128,0.35732,0.55045,0.2623,0.8193,0.00950206,0.00950206,0.00950206
74,2373.71,0.51182,0.80167,0.47544,0.88818,0.96942,0.98768,0.99232,0.93752,0.97421,0.97748,0.9875,0.84751,0.35655,0.56766,0.26248,0.82002,0.00948837,0.00948837,0.00948837
75,2407.19,0.51179,0.80448,0.4736,0.88701,0.98076,0.98408,0.9938,0.94725,0.98094,0.98356,0.99159,0.85662,0.34475,0.55536,0.25057,0.81365,0.00947452,0.00947452,0.00947452
76,2440.73,0.51503,0.80444,0.4707,0.88584,0.97937,0.98405,0.99051,0.94255,0.97937,0.98405,0.99031,0.8572,0.3468,0.54156,0.25273,0.81732,0.00946048,0.00946048,0.00946048
