epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,725.127,0.79445,0.89904,1.13189,0.9047,0.84137,0.89942,0.76481,0.6424,0.66846,0.99828,0.00972806,0.00972806,0.00972806
55,738.072,0.79257,0.91054,1.09903,0.91405,0.82316,0.88929,0.75762,0.65816,0.69603,1.0012,0.0097178,0.0097178,0.0097178
56,751.408,0.80012,0.9317,1.11889,0.85302,0.71159,0.85082,0.7132,0.66976,0.90795,1.02583,0.00970736,0.00970736,0.00970736
57,764.872,0.76528,0.89999,1.09151,0.85402,0.83936,0.89176,0.75173,0.67892,0.70554,1.02788,0.00969673,0.00969673,0.00969673
58,777.99,0.76425,0.83391,1.09766,0.92547,0.83805,0.90673,0.76325,0.64119,0.68187,0.99542,0.00968592,0.00968592,0.00968592
59,791.462,0.78921,0.89715,1.10454,0.90364,0.83276,0.90444,0.76513,0.64554,0.66391,1.00075,0.00967493,0.00967493,0.00967493
60,804.377,0.78549,0.87041,1.10628,0.92918,0.83389,0.91093,0.77231,0.63824,0.64734,0.99149,0.00966375,0.00966375,0.00966375
61,817,0.76233,0.90013,1.08782,0.88806,0.83175,0.89264,0.76466,0.65035,0.7017,1.00047,0.00965239,0.00965239,0.00965239
62,830.402,0.78865,0.88968,1.10285,0.90807,0.86379,0.91478,0.77731,0.62902,0.6373,0.99297,0.00964085,0.00964085,0.00964085
63,843.274,0.77115,0.8678,1.08904,0.8794,0.82317,0.88575,0.74712,0.66575,0.74948,1.02602,0.00962913,0.00962913,0.00962913
64,856.04,0.76268,0.85829,1.09441,0.90402,0.84316,0.90848,0.77201,0.64842,0.68179,1.00829,0.00961723,0.00961723,0.00961723
65,869.035,0.79026,0.8977,1.11163,0.90788,0.84619,0.91774,0.7766,0.64535,0.64099,0.9954,0.00960515,0.00960515,0.00960515
