timestamp,cam_x,cam_y,cam_z,cam_rx,cam_ry,cam_rz,cam_rw
1759132052.931249,-0.454647,-0.503517,0.502840,0.583679,0.725784,0.336903,-0.138034
1759132052.931249,-0.454647,-0.503517,0.502840,0.583679,0.725784,0.336903,-0.138034
1759132052.997964,-0.455710,-0.499526,0.506408,0.585631,0.725422,0.335135,-0.135957
1759132052.997964,-0.455710,-0.499526,0.506408,0.585631,0.725422,0.335135,-0.135957
1759132053.064679,-0.456911,-0.494776,0.510640,0.587966,0.724963,0.333008,-0.133528
1759132053.064679,-0.456911,-0.494776,0.510640,0.587966,0.724963,0.333008,-0.133528
1759132053.131394,-0.458115,-0.489332,0.515582,0.590636,0.724456,0.330449,-0.130830
1759132053.131394,-0.458115,-0.489332,0.515582,0.590636,0.724456,0.330449,-0.130830
1759132053.198109,-0.459396,-0.483226,0.521018,0.593562,0.723894,0.327619,-0.127778
1759132053.198109,-0.459396,-0.483226,0.521018,0.593562,0.723894,0.327619,-0.127778
1759132053.264824,-0.460720,-0.476416,0.527002,0.596803,0.723250,0.324429,-0.124423
1759132053.264824,-0.460720,-0.476416,0.527002,0.596803,0.723250,0.324429,-0.124423
1759132053.331539,-0.462040,-0.468775,0.533674,0.600417,0.722498,0.320789,-0.120791
1759132053.331539,-0.462040,-0.468775,0.533674,0.600417,0.722498,0.320789,-0.120791
1759132053.398254,-0.463231,-0.460544,0.540743,0.604255,0.721663,0.316868,-0.116928
1759132053.398254,-0.463231,-0.460544,0.540743,0.604255,0.721663,0.316868,-0.116928
1759132053.464968,-0.464346,-0.451544,0.548402,0.608442,0.720701,0.312500,-0.112835
1759132053.464968,-0.464346,-0.451544,0.548402,0.608442,0.720701,0.312500,-0.112835
1759132053.531683,-0.465222,-0.441871,0.556651,0.612868,0.719696,0.307650,-0.108543
1759132053.531683,-0.465222,-0.441871,0.556651,0.612868,0.719696,0.307650,-0.108543
1759132053.598398,-0.465902,-0.431493,0.565341,0.617603,0.718537,0.302392,-0.104068
1759132053.598398,-0.465902,-0.431493,0.565341,0.617603,0.718537,0.302392,-0.104068
1759132053.665113,-0.466249,-0.420487,0.574493,0.622566,0.717278,0.296697,-0.099469
1759132053.665113,-0.466249,-0.420487,0.574493,0.622566,0.717278,0.296697,-0.099469
1759132053.731825,-0.466245,-0.408789,0.584109,0.627782,0.715909,0.290500,-0.094734
1759132053.731825,-0.466245,-0.408789,0.584109,0.627782,0.715909,0.290500,-0.094734
1759132053.798537,-0.465772,-0.396487,0.594172,0.633252,0.714389,0.283812,-0.089954
1759132053.798537,-0.465772,-0.396487,0.594172,0.633252,0.714389,0.283812,-0.089954
1759132053.865249,-0.464764,-0.383551,0.604663,0.638894,0.712772,0.276613,-0.085180
1759132053.865249,-0.464764,-0.383551,0.604663,0.638894,0.712772,0.276613,-0.085180
1759132053.931961,-0.463205,-0.370092,0.615472,0.644820,0.710931,0.268908,-0.080450
1759132053.931961,-0.463205,-0.370092,0.615472,0.644820,0.710931,0.268908,-0.080450
1759132053.998673,-0.460980,-0.356181,0.626525,0.650790,0.709056,0.260735,-0.075696
1759132053.998673,-0.460980,-0.356181,0.626525,0.650790,0.709056,0.260735,-0.075696
1759132054.065384,-0.458008,-0.341755,0.637833,0.657025,0.706917,0.252064,-0.071063
1759132054.065384,-0.458008,-0.341755,0.637833,0.657025,0.706917,0.252064,-0.071063
1759132054.132096,-0.454131,-0.326944,0.649523,0.663339,0.704696,0.242767,-0.066703
1759132054.132096,-0.454131,-0.326944,0.649523,0.663339,0.704696,0.242767,-0.066703
1759132054.198808,-0.449655,-0.312437,0.660810,0.669568,0.702328,0.233417,-0.062694
1759132054.198808,-0.449655,-0.312437,0.660810,0.669568,0.702328,0.233417,-0.062694
1759132054.265519,-0.444721,-0.298873,0.671343,0.675327,0.700071,0.224348,-0.059177
1759132054.265519,-0.444721,-0.298873,0.671343,0.675327,0.700071,0.224348,-0.059177
1759132054.332231,-0.439523,-0.286248,0.681112,0.680784,0.697769,0.215623,-0.056200
1759132054.332231,-0.439523,-0.286248,0.681112,0.680784,0.697769,0.215623,-0.056200
1759132054.398942,-0.434022,-0.274551,0.690240,0.685786,0.695606,0.207223,-0.053747
1759132054.398942,-0.434022,-0.274551,0.690240,0.685786,0.695606,0.207223,-0.053747
1759132054.465654,-0.428326,-0.263789,0.698695,0.690465,0.693473,0.199186,-0.051756
1759132054.465654,-0.428326,-0.263789,0.698695,0.690465,0.693473,0.199186,-0.051756
1759132054.532365,-0.422701,-0.253845,0.706336,0.694740,0.691441,0.191694,-0.049996
1759132054.532365,-0.422701,-0.253845,0.706336,0.694740,0.691441,0.191694,-0.049996
1759132054.599077,-0.416990,-0.244748,0.713455,0.698712,0.689492,0.184493,-0.048630
1759132054.599077,-0.416990,-0.244748,0.713455,0.698712,0.689492,0.184493,-0.048630
1759132054.665788,-0.411359,-0.236436,0.719962,0.702392,0.687603,0.177733,-0.047523
1759132054.665788,-0.411359,-0.236436,0.719962,0.702392,0.687603,0.177733,-0.047523
1759132054.732502,-0.405935,-0.228864,0.725870,0.705733,0.685841,0.171428,-0.046643
1759132054.732502,-0.405935,-0.228864,0.725870,0.705733,0.685841,0.171428,-0.046643
1759132054.799216,-0.400540,-0.222009,0.731362,0.708842,0.684139,0.165449,-0.046079
1759132054.799216,-0.400540,-0.222009,0.731362,0.708842,0.684139,0.165449,-0.046079
1759132054.865929,-0.395513,-0.215850,0.736237,0.711620,0.682577,0.160013,-0.045626
1759132054.865929,-0.395513,-0.215850,0.736237,0.711620,0.682577,0.160013,-0.045626
1759132054.932643,-0.390642,-0.210290,0.740709,0.714140,0.681131,0.154940,-0.045365
1759132054.932643,-0.390642,-0.210290,0.740709,0.714140,0.681131,0.154940,-0.045365
1759132054.999357,-0.386145,-0.205378,0.744670,0.716419,0.679779,0.150338,-0.045194
1759132054.999357,-0.386145,-0.205378,0.744670,0.716419,0.679779,0.150338,-0.045194
1759132055.066070,-0.381978,-0.200996,0.748206,0.718500,0.678497,0.146159,-0.045137
1759132055.066070,-0.381978,-0.200996,0.748206,0.718500,0.678497,0.146159,-0.045137
1759132055.132784,-0.378127,-0.197171,0.751356,0.720306,0.677381,0.142391,-0.045155
1759132055.132784,-0.378127,-0.197171,0.751356,0.720306,0.677381,0.142391,-0.045155
1759132055.199497,-0.374683,-0.193895,0.754070,0.721830,0.676440,0.139091,-0.045211
1759132055.199497,-0.374683,-0.193895,0.754070,0.721830,0.676440,0.139091,-0.045211
1759132055.266211,-0.371714,-0.191065,0.756358,0.723188,0.675565,0.136245,-0.045259
1759132055.266211,-0.371714,-0.191065,0.756358,0.723188,0.675565,0.136245,-0.045259
1759132055.332924,-0.369090,-0.188697,0.758320,0.724349,0.674801,0.133805,-0.045375
1759132055.332924,-0.369090,-0.188697,0.758320,0.724349,0.674801,0.133805,-0.045375
1759132055.399638,-0.366901,-0.186766,0.759925,0.725300,0.674169,0.131786,-0.045493
1759132055.399638,-0.366901,-0.186766,0.759925,0.725300,0.674169,0.131786,-0.045493
1759132055.466351,-0.365230,-0.185295,0.761137,0.726024,0.673684,0.130243,-0.045572
1759132055.466351,-0.365230,-0.185295,0.761137,0.726024,0.673684,0.130243,-0.045572
1759132055.533064,-0.363941,-0.184250,0.762084,0.726526,0.673364,0.129054,-0.045678
1759132055.533064,-0.363941,-0.184250,0.762084,0.726526,0.673364,0.129054,-0.045678
1759132055.599778,-0.363102,-0.183569,0.762743,0.726873,0.673132,0.128262,-0.045810
1759132055.599778,-0.363102,-0.183569,0.762743,0.726873,0.673132,0.128262,-0.045810
1759132055.666492,-0.362826,-0.183305,0.762968,0.727006,0.673037,0.127991,-0.045845
1759132055.666492,-0.362826,-0.183305,0.762968,0.727006,0.673037,0.127991,-0.045845
1759132055.733207,-0.362882,-0.183333,0.762895,0.726973,0.673069,0.128036,-0.045769
1759132055.733207,-0.362882,-0.183333,0.762895,0.726973,0.673069,0.128036,-0.045769
1759132055.799923,-0.362898,-0.183330,0.762833,0.726967,0.673070,0.128080,-0.045728
1759132055.799923,-0.362898,-0.183330,0.762833,0.726967,0.673070,0.128080,-0.045728
1759132055.866638,-0.362907,-0.183328,0.762799,0.726963,0.673070,0.128111,-0.045696
1759132055.866638,-0.362907,-0.183328,0.762799,0.726963,0.673070,0.128111,-0.045696
1759132055.933354,-0.362901,-0.183331,0.762795,0.726952,0.673082,0.128113,-0.045695
1759132055.933354,-0.362901,-0.183331,0.762795,0.726952,0.673082,0.128113,-0.045695
1759132056.000069,-0.362879,-0.183329,0.762813,0.726958,0.673078,0.128097,-0.045709
1759132056.000069,-0.362879,-0.183329,0.762813,0.726958,0.673078,0.128097,-0.045709
1759132056.066785,-0.362878,-0.183322,0.762823,0.726974,0.673062,0.128086,-0.045719
1759132056.066785,-0.362878,-0.183322,0.762823,0.726974,0.673062,0.128086,-0.045719
1759132056.133501,-0.362864,-0.183320,0.762826,0.726975,0.673063,0.128075,-0.045716
1759132056.133501,-0.362864,-0.183320,0.762826,0.726975,0.673063,0.128075,-0.045716
1759132056.200216,-0.362863,-0.183320,0.762828,0.726964,0.673072,0.128085,-0.045724
1759132056.200216,-0.362863,-0.183320,0.762828,0.726964,0.673072,0.128085,-0.045724
1759132056.266932,-0.362878,-0.183314,0.762818,0.726978,0.673057,0.128091,-0.045715
1759132056.266932,-0.362878,-0.183314,0.762818,0.726978,0.673057,0.128091,-0.045715
1759132056.333647,-0.362861,-0.183309,0.762832,0.726983,0.673054,0.128075,-0.045725
1759132056.333647,-0.362861,-0.183309,0.762832,0.726983,0.673054,0.128075,-0.045725
1759132056.400363,-0.362877,-0.183315,0.762825,0.726969,0.673067,0.128088,-0.045720
1759132056.400363,-0.362877,-0.183315,0.762825,0.726969,0.673067,0.128088,-0.045720
1759132056.467079,-0.362862,-0.183321,0.762827,0.726958,0.673080,0.128083,-0.045724
1759132056.467079,-0.362862,-0.183321,0.762827,0.726958,0.673080,0.128083,-0.045724
1759132056.533794,-0.362861,-0.183313,0.762837,0.726977,0.673059,0.128075,-0.045734
1759132056.533794,-0.362861,-0.183313,0.762837,0.726977,0.673059,0.128075,-0.045734
1759132056.600510,-0.362861,-0.183311,0.762835,0.726980,0.673058,0.128068,-0.045723
1759132056.600510,-0.362861,-0.183311,0.762835,0.726980,0.673058,0.128068,-0.045723
1759132056.667225,-0.362869,-0.183309,0.762829,0.726977,0.673060,0.128081,-0.045721
1759132056.667225,-0.362869,-0.183309,0.762829,0.726977,0.673060,0.128081,-0.045721
1759132056.733945,-0.362854,-0.183320,0.762829,0.726995,0.673039,0.128082,-0.045733
1759132056.733945,-0.362854,-0.183320,0.762829,0.726995,0.673039,0.128082,-0.045733
1759132056.800665,-0.362580,-0.183514,0.762824,0.727041,0.672982,0.128053,-0.045921
1759132056.800665,-0.362580,-0.183514,0.762824,0.727041,0.672982,0.128053,-0.045921
1759132056.867385,-0.362037,-0.183919,0.762738,0.727237,0.672747,0.128041,-0.046305
1759132056.867385,-0.362037,-0.183919,0.762738,0.727237,0.672747,0.128041,-0.046305
1759132056.934105,-0.361385,-0.184577,0.762620,0.727492,0.672421,0.128074,-0.046923
1759132056.934105,-0.361385,-0.184577,0.762620,0.727492,0.672421,0.128074,-0.046923
1759132057.000825,-0.360557,-0.185470,0.762444,0.727811,0.672018,0.128107,-0.047670
1759132057.000825,-0.360557,-0.185470,0.762444,0.727811,0.672018,0.128107,-0.047670
1759132057.067545,-0.359373,-0.186542,0.762255,0.728257,0.671463,0.128103,-0.048667
1759132057.067545,-0.359373,-0.186542,0.762255,0.728257,0.671463,0.128103,-0.048667
1759132057.134265,-0.357948,-0.187848,0.762033,0.728740,0.670852,0.128093,-0.049886
1759132057.134265,-0.357948,-0.187848,0.762033,0.728740,0.670852,0.128093,-0.049886
1759132057.200985,-0.356279,-0.189355,0.761759,0.729291,0.670146,0.128094,-0.051295
1759132057.200985,-0.356279,-0.189355,0.761759,0.729291,0.670146,0.128094,-0.051295
1759132057.267705,-0.354413,-0.191059,0.761427,0.729962,0.669294,0.128080,-0.052879
